INSTNM,CITY,STABBR,ZIP
Ivy Tech Community College-Bloomington,Bloomington,IN,47404-9272
Ivy Tech Community College-Indianapolis,Indianapolis,IN,46208-9272
Indiana Wesleyan University - Marion Design Co.,Marion,IN,469524003
University of Notre Dame -,Chicago,IL,60604-2535
Graceland University - Independence,Independence,MO,64050-3434
Baker University School of Nursing,Topeka,KS,66604-1353
Baker University School of Professional and Graduate Studies and Graduate School of Education,Overland Park,KS,66210-1937
Coffeyville Technical Campus,Coffeyville,KS,67337-7501
Columbus Technical Campus,Columbus,KS,66725-5064
Old Town Barber College - KC,Kansas City,MO,64136-1187
PJ's College of Cosmetology- Greenfield,Greenfield,IN,46140-3120
PJ's College of Cosmetology- Muncie,Muncie,IN,47304-3120
PJ's College of Cosmetology- Indianapolis,Indianapolis,IN,46203-3120
PJ's College of Cosmetology- Plainfield,Plainfield,IN,46168-3120
PJ's College of Cosmetology- Louisville,Louisville,KY,40233-3120
Southeastern Louisiana University - EBR Parish School System Prof Dev,Baton Rouge,LA,70814-5322
Southeastern Louisiana University - St Amant High School,St Amant,LA,70774-3413
Southeastern Louisiana University - Destrahan High School,Destrehan,LA,70047-4002
Southeastern Louisiana University - Albert Cammon Middle School,St. Rose,LA,70087-3616
Empire Beauty School-Bangor,Bangor,ME,4401
Cecil College - Elkton Station,Elkton,MD,21921-5535
Hillsdale Beauty College,Hillsdale,MI,49242-0000
Baker College of Owosso,Owosso,MI,48867-9600
Baker College of Allen Park,Allen Park,MI,481019600
Baker College of Auburn Hills,Auburn Hills,MI,48326-9600
Baker College of Cadillac,Cadillac,MI,49601-9600
Baker College of Clinton Township,Clinton Township,MI,480359600
Baker College of Jackson,Jackson,MI,49202-1290
Baker College of Muskegon,Muskegon,MI,49442-1290
Baker College of Port Huron,Port Huron,MI,48060-1290
Baker College Center for Graduate Studies,Flint,MI,485071290
Baker College - Flint,Flint,MI,485075508
Davenport University-Warren Location,Warren,MI,48092-5209
Davenport University-Kalamazoo Location,Kalamazoo,MI,49003-4070
Davenport University-Lansing Location,Lansing,MI,48933-2197
Davenport University-Midland Location,Midland,MI,48642-3799
Davenport University-Holland Location,Holland,MI,49423-9121
Davenport University-Flint Location,Fenton,MI,48503-9121
Davenport University-Traverse City Location,Traverse City,MI,49684-9121
Davenport University-Livonia Location,Livonia,MI,48152-9069
Davenport University-Grand Rapids Downtown,Grand Rapids,MI,49503-9121
Davenport University - Treasury Site Dimondale,Dimondale,MI,48821-5004
Davenport University - Wayne CCCD,Belleville,MI,48111-1404
Davenport University - Macomb CC,Clinton Township,MI,48038-1139
Davenport University - Schoolcraft College,Livonia,MI,48152-3932
Davenport University - Detroit,Detroit,MI,48202-3046
Anoka-Ramsey Community College-Cambridge Campus,Cambridge,MN,55008-5704
Central Lakes College-Staples Campus,Staples,MN,56479-3252
M State - Detroit Lakes Campus,Detroit Lakes,MN,56501-2698
M State - Moorhead Campus,Moorhead,MN,56560-4899
M State - Wadena Campus,Wadena,MN,56482-0566
South Central College-Faribault,Faribault,MN,55021-5782
Mayo Clinic College of Medicine and Science - Florida,Jacksonville,FL,32224
Mayo Clinic College of Medicine and Science - Arizona,Scottsdale,AZ,85259
Mesabi Range College,Eveleth,MN,55734
Northland Community and Technical College - East Grand Forks,East Grand Forks,MN,56721
Rasmussen University-Bloomington,Bloomington,MN,55435-5444
Rasmussen University-Eagan,Eagan,MN,55122-1346
Rasmussen University-Mankato,Mankato,MN,56001-5476
Rasmussen University-Brooklyn Park,Brooklyn Park,MN,55445-8658
Rasmussen University-Lake Elmo/Woodbury,Lake Elmo,MN,55042-8624
Rasmussen University-Blaine,Blaine,MN,55014-8624
Minnesota State CollegeSoutheast-Red Wing Campus,Red Wing,MN,55066
Copiah-Lincoln Community College Simpson County Center,Mendenhall,MS,39114
Copiah-Lincoln Community College-Natchez Campus,Natchez,MS,39120
University of Mississippi Medical Center,Jackson,MS,39216-4505
Pearl River Community College-Forrest County Campus,Hattiesburg,MS,39401
Columbia College - Redstone Arsenal,Redstone Arsenal,AL,35898-5192
Columbia College - Denver,Centennial,CO,80112
Columbia College - NAS Jacksonville,Jacksonville,FL,32212-0137
Columbia College - Orlando,Orlando,FL,32804-2606
Columbia College - Crystal Lake Campus,Crystal Lake,IL,60012-3709
Columbia College - Kansas City,Kansas City,MO,64133-1707
Columbia College - Fort Leonard Wood,Fort Leonard Wood,MO,65473-1707
